M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
4096,128,512,bf16,32,32,32,168.913,37748736,64,16,64,224.233,13631488,1.33,2.77
4096,128,1024,bf16,32,32,32,309.847,75497472,32,16,128,391.64,42991616,1.26,1.76
4096,128,2048,bf16,32,32,32,0.0,150994944,16,8,256,0.0,152043520,0.0,0.99
4096,128,4096,bf16,32,32,32,860.331,301989888,4,8,512,0.0,1108344832,0.0,0.27
4096,256,128,bf16,32,32,32,0.0,17825792,128,32,16,123.059,5242880,0.0,3.4
4096,256,256,bf16,32,32,32,169.655,35651584,64,64,32,233.875,12582912,1.38,2.83
4096,256,512,bf16,32,32,32,314.893,71303168,64,16,64,378.522,23068672,1.2,3.09
4096,256,1024,bf16,32,32,32,0.0,142606336,32,16,128,0.0,77594624,0.0,1.84
4096,256,2048,bf16,32,32,32,912.598,285212672,16,8,256,648.453,287309824,0.71,0.99
4096,256,4096,bf16,32,32,32,1383.53,570425344,4,8,512,0.0,2183135232,0.0,0.26
4096,512,128,bf16,32,32,32,0.0,34603008,128,32,16,239.684,9437184,0.0,3.67
4096,512,256,bf16,32,32,32,321.733,69206016,64,64,32,416.688,23068672,1.3,3.0
